Group;Value
POP=50_CXPB=0.5_MUTPB=0.2;84.6
POP=50_CXPB=0.5_MUTPB=0.2;85.5
POP=50_CXPB=0.5_MUTPB=0.2;86.1
POP=50_CXPB=0.5_MUTPB=0.2;83.0
POP=50_CXPB=0.5_MUTPB=0.2;86.6
POP=50_CXPB=0.5_MUTPB=0.2;83.7
POP=50_CXPB=0.5_MUTPB=0.2;83.6
POP=50_CXPB=0.5_MUTPB=0.2;84.0
POP=50_CXPB=0.5_MUTPB=0.2;85.8
POP=50_CXPB=0.5_MUTPB=0.2;84.89999999999999
POP=50_CXPB=0.5_MUTPB=0.01;81.10000000000001
POP=50_CXPB=0.5_MUTPB=0.01;81.39999999999999
POP=50_CXPB=0.5_MUTPB=0.01;82.1
POP=50_CXPB=0.5_MUTPB=0.01;81.8
POP=50_CXPB=0.5_MUTPB=0.01;86.3
POP=50_CXPB=0.5_MUTPB=0.01;84.89999999999999
POP=50_CXPB=0.5_MUTPB=0.01;86.0
POP=50_CXPB=0.5_MUTPB=0.01;83.2
POP=50_CXPB=0.5_MUTPB=0.01;84.8
POP=50_CXPB=0.5_MUTPB=0.01;82.39999999999999
POP=50_CXPB=0.5_MUTPB=0.9;83.6
POP=50_CXPB=0.5_MUTPB=0.9;84.2
POP=50_CXPB=0.5_MUTPB=0.9;84.1
POP=50_CXPB=0.5_MUTPB=0.9;85.39999999999999
POP=50_CXPB=0.5_MUTPB=0.9;83.6
POP=50_CXPB=0.5_MUTPB=0.9;84.3
POP=50_CXPB=0.5_MUTPB=0.9;83.7
POP=50_CXPB=0.5_MUTPB=0.9;83.5
POP=50_CXPB=0.5_MUTPB=0.9;86.2
POP=50_CXPB=0.5_MUTPB=0.9;84.6
POP=50_CXPB=0.9_MUTPB=0.2;85.1
POP=50_CXPB=0.9_MUTPB=0.2;85.3
POP=50_CXPB=0.9_MUTPB=0.2;86.3
POP=50_CXPB=0.9_MUTPB=0.2;85.6
POP=50_CXPB=0.9_MUTPB=0.2;85.39999999999999
POP=50_CXPB=0.9_MUTPB=0.2;81.89999999999999
POP=50_CXPB=0.9_MUTPB=0.2;83.39999999999999
POP=50_CXPB=0.9_MUTPB=0.2;85.0
POP=50_CXPB=0.9_MUTPB=0.2;84.8
POP=50_CXPB=0.9_MUTPB=0.2;86.4
POP=50_CXPB=0.9_MUTPB=0.01;85.1
POP=50_CXPB=0.9_MUTPB=0.01;82.19999999999999
POP=50_CXPB=0.9_MUTPB=0.01;85.39999999999999
POP=50_CXPB=0.9_MUTPB=0.01;83.2
POP=50_CXPB=0.9_MUTPB=0.01;83.0
POP=50_CXPB=0.9_MUTPB=0.01;84.89999999999999
POP=50_CXPB=0.9_MUTPB=0.01;86.3
POP=50_CXPB=0.9_MUTPB=0.01;85.1
POP=50_CXPB=0.9_MUTPB=0.01;83.6
POP=50_CXPB=0.9_MUTPB=0.01;85.3
POP=50_CXPB=0.9_MUTPB=0.9;85.9
POP=50_CXPB=0.9_MUTPB=0.9;85.9
POP=50_CXPB=0.9_MUTPB=0.9;85.2
POP=50_CXPB=0.9_MUTPB=0.9;86.4
POP=50_CXPB=0.9_MUTPB=0.9;82.89999999999999
POP=50_CXPB=0.9_MUTPB=0.9;83.6
POP=50_CXPB=0.9_MUTPB=0.9;83.5
POP=50_CXPB=0.9_MUTPB=0.9;84.8
POP=50_CXPB=0.9_MUTPB=0.9;85.5
POP=50_CXPB=0.9_MUTPB=0.9;85.2
POP=50_CXPB=0.1_MUTPB=0.2;84.3
POP=50_CXPB=0.1_MUTPB=0.2;82.8
POP=50_CXPB=0.1_MUTPB=0.2;84.1
POP=50_CXPB=0.1_MUTPB=0.2;82.8
POP=50_CXPB=0.1_MUTPB=0.2;84.3
POP=50_CXPB=0.1_MUTPB=0.2;84.3
POP=50_CXPB=0.1_MUTPB=0.2;82.39999999999999
POP=50_CXPB=0.1_MUTPB=0.2;85.6
POP=50_CXPB=0.1_MUTPB=0.2;82.69999999999999
POP=50_CXPB=0.1_MUTPB=0.2;84.7
POP=50_CXPB=0.1_MUTPB=0.01;84.2
POP=50_CXPB=0.1_MUTPB=0.01;84.0
POP=50_CXPB=0.1_MUTPB=0.01;80.9
POP=50_CXPB=0.1_MUTPB=0.01;81.89999999999999
POP=50_CXPB=0.1_MUTPB=0.01;83.6
POP=50_CXPB=0.1_MUTPB=0.01;82.19999999999999
POP=50_CXPB=0.1_MUTPB=0.01;84.1
POP=50_CXPB=0.1_MUTPB=0.01;83.3
POP=50_CXPB=0.1_MUTPB=0.01;83.7
POP=50_CXPB=0.1_MUTPB=0.01;82.8
POP=50_CXPB=0.1_MUTPB=0.9;85.3
POP=50_CXPB=0.1_MUTPB=0.9;83.0
POP=50_CXPB=0.1_MUTPB=0.9;84.3
POP=50_CXPB=0.1_MUTPB=0.9;83.5
POP=50_CXPB=0.1_MUTPB=0.9;85.39999999999999
POP=50_CXPB=0.1_MUTPB=0.9;82.89999999999999
POP=50_CXPB=0.1_MUTPB=0.9;84.8
POP=50_CXPB=0.1_MUTPB=0.9;86.2
POP=50_CXPB=0.1_MUTPB=0.9;82.39999999999999
POP=50_CXPB=0.1_MUTPB=0.9;84.2
POP=150_CXPB=0.5_MUTPB=0.2;84.6
POP=150_CXPB=0.5_MUTPB=0.2;85.7
POP=150_CXPB=0.5_MUTPB=0.2;83.1
POP=150_CXPB=0.5_MUTPB=0.2;84.1
POP=150_CXPB=0.5_MUTPB=0.2;86.8
POP=150_CXPB=0.5_MUTPB=0.2;85.1
POP=150_CXPB=0.5_MUTPB=0.2;85.2
POP=150_CXPB=0.5_MUTPB=0.2;86.7
POP=150_CXPB=0.5_MUTPB=0.2;86.1
POP=150_CXPB=0.5_MUTPB=0.2;86.1
POP=150_CXPB=0.5_MUTPB=0.01;83.7
POP=150_CXPB=0.5_MUTPB=0.01;83.39999999999999
POP=150_CXPB=0.5_MUTPB=0.01;84.2
POP=150_CXPB=0.5_MUTPB=0.01;87.0
POP=150_CXPB=0.5_MUTPB=0.01;83.89999999999999
POP=150_CXPB=0.5_MUTPB=0.01;84.89999999999999
POP=150_CXPB=0.5_MUTPB=0.01;85.8
POP=150_CXPB=0.5_MUTPB=0.01;82.69999999999999
POP=150_CXPB=0.5_MUTPB=0.01;82.8
POP=150_CXPB=0.5_MUTPB=0.01;86.5
POP=150_CXPB=0.5_MUTPB=0.9;83.6
POP=150_CXPB=0.5_MUTPB=0.9;83.39999999999999
POP=150_CXPB=0.5_MUTPB=0.9;84.5
POP=150_CXPB=0.5_MUTPB=0.9;84.7
POP=150_CXPB=0.5_MUTPB=0.9;84.8
POP=150_CXPB=0.5_MUTPB=0.9;84.1
POP=150_CXPB=0.5_MUTPB=0.9;83.2
POP=150_CXPB=0.5_MUTPB=0.9;84.0
POP=150_CXPB=0.5_MUTPB=0.9;83.5
POP=150_CXPB=0.5_MUTPB=0.9;83.89999999999999
POP=150_CXPB=0.9_MUTPB=0.2;84.39999999999999
POP=150_CXPB=0.9_MUTPB=0.2;86.0
POP=150_CXPB=0.9_MUTPB=0.2;85.39999999999999
POP=150_CXPB=0.9_MUTPB=0.2;86.0
POP=150_CXPB=0.9_MUTPB=0.2;85.9
POP=150_CXPB=0.9_MUTPB=0.2;82.3
POP=150_CXPB=0.9_MUTPB=0.2;85.2
POP=150_CXPB=0.9_MUTPB=0.2;85.3
POP=150_CXPB=0.9_MUTPB=0.2;84.6
POP=150_CXPB=0.9_MUTPB=0.2;84.7
POP=150_CXPB=0.9_MUTPB=0.01;84.8
POP=150_CXPB=0.9_MUTPB=0.01;85.5
POP=150_CXPB=0.9_MUTPB=0.01;84.3
POP=150_CXPB=0.9_MUTPB=0.01;85.7
POP=150_CXPB=0.9_MUTPB=0.01;85.7
POP=150_CXPB=0.9_MUTPB=0.01;85.2
POP=150_CXPB=0.9_MUTPB=0.01;85.2
POP=150_CXPB=0.9_MUTPB=0.01;84.8
POP=150_CXPB=0.9_MUTPB=0.01;84.7
POP=150_CXPB=0.9_MUTPB=0.01;84.1
POP=150_CXPB=0.9_MUTPB=0.9;85.6
POP=150_CXPB=0.9_MUTPB=0.9;83.39999999999999
POP=150_CXPB=0.9_MUTPB=0.9;84.6
POP=150_CXPB=0.9_MUTPB=0.9;83.5
POP=150_CXPB=0.9_MUTPB=0.9;84.39999999999999
POP=150_CXPB=0.9_MUTPB=0.9;84.1
POP=150_CXPB=0.9_MUTPB=0.9;84.3
POP=150_CXPB=0.9_MUTPB=0.9;84.6
POP=150_CXPB=0.9_MUTPB=0.9;84.3
POP=150_CXPB=0.9_MUTPB=0.9;83.6
POP=150_CXPB=0.1_MUTPB=0.2;83.39999999999999
POP=150_CXPB=0.1_MUTPB=0.2;86.0
POP=150_CXPB=0.1_MUTPB=0.2;84.89999999999999
POP=150_CXPB=0.1_MUTPB=0.2;82.1
POP=150_CXPB=0.1_MUTPB=0.2;84.1
POP=150_CXPB=0.1_MUTPB=0.2;83.89999999999999
POP=150_CXPB=0.1_MUTPB=0.2;83.2
POP=150_CXPB=0.1_MUTPB=0.2;85.3
POP=150_CXPB=0.1_MUTPB=0.2;86.6
POP=150_CXPB=0.1_MUTPB=0.2;82.89999999999999
POP=150_CXPB=0.1_MUTPB=0.01;82.39999999999999
POP=150_CXPB=0.1_MUTPB=0.01;84.39999999999999
POP=150_CXPB=0.1_MUTPB=0.01;83.7
POP=150_CXPB=0.1_MUTPB=0.01;84.1
POP=150_CXPB=0.1_MUTPB=0.01;85.0
POP=150_CXPB=0.1_MUTPB=0.01;82.3
POP=150_CXPB=0.1_MUTPB=0.01;84.7
POP=150_CXPB=0.1_MUTPB=0.01;83.8
POP=150_CXPB=0.1_MUTPB=0.01;84.3
POP=150_CXPB=0.1_MUTPB=0.01;84.2
POP=150_CXPB=0.1_MUTPB=0.9;84.89999999999999
POP=150_CXPB=0.1_MUTPB=0.9;85.2
POP=150_CXPB=0.1_MUTPB=0.9;83.3
POP=150_CXPB=0.1_MUTPB=0.9;87.0
POP=150_CXPB=0.1_MUTPB=0.9;84.2
POP=150_CXPB=0.1_MUTPB=0.9;85.3
POP=150_CXPB=0.1_MUTPB=0.9;84.1
POP=150_CXPB=0.1_MUTPB=0.9;83.39999999999999
POP=150_CXPB=0.1_MUTPB=0.9;82.3
POP=150_CXPB=0.1_MUTPB=0.9;83.8
